,name,address,count
88,한공간,서울특별시 마포구 동교로27길 78 1층 한공간,1
89,시모네,서울특별시 마포구 성미산로29안길 19-7 1층 시모네,1
90,샤브로21 연남,서울특별시 마포구 양화로19길 22-13 1층 101호(동교동),1
91,나베공방,서울특별시 마포구 양화로6길 57-24,1
92,연어롭다,서울특별시 마포구 동교로38길 42,1
93,멜팅오브,서울특별시 마포구 동교로38길 33-14 연남스퀘어빌딩 2층,1
94,연남물갈비 서울시흥점,서울특별시 금천구 시흥대로52길 42 지상1층,1
95,왓에버타코,서울특별시 마포구 연희로1길 51 1층 102호,1
96,연남국자,서울특별시 마포구 동교로39길 7 1층,1
97,연남토마 고속터미널점,서울특별시 서초구 신반포로 194 고속터미널 경부선 1층 4호,1
98,연남 흑돼지,서울특별시 마포구 동교로32길 3 연남흑돼지,1
99,오버트 연남,서울특별시 마포구 연희로 7 1층 105호,1
100,테판클럽,서울특별시 마포구 동교로 243 3층,1
101,심원,서울특별시 마포구 성미산로29안길 19-7 2층,1
102,연남물갈비 광명어반브릭스점,경기도 광명시 양지로 19 3층 364호,1
103,야키토리 묵,서울특별시 마포구 성미산로 165-1 1층 우측,1
104,1953연남서서갈비 정자직영점,경기도 성남시 분당구 백현로150번길 7 1층,1
105,쿤댕,서울특별시 마포구 동교로38길 42-6 2층,1
106,서양면옥,서울특별시 마포구 연희로1길 43 1층 101호,1
